Type,Numéro,Alias,Alias structuré,Libellé,Compte provisoire 2014,Budget voté 2015,2016,2017,2018,2019,Mention
Article,11.070,051 11070,05.1.11.070,Indemnités des agents au service de l'Etat dans le cadre d'un contrat d'apprentissage,19 571,27 160,28 000,29 418,30 155,30 155,
Article,11.100,051 11100,05.1.11.100,Indemnités d'habillement,1 080,1 080,1 115,1 199,1 247,1 247,Crédit sans distinction d'exercice
Article,11.130,051 11130,05.1.11.130,Indemnités pour services extraordinaires,8 382,7 395,9 000,9 000,9 000,9 000,
Article,12.000,051 12000,05.1.12.000,Indemnités pour services de tiers,1 887,6 000,4 000,4 000,4 000,4 000,
Article,12.010,051 12010,05.1.12.010,"Frais de route et de séjour, frais de déménagement",4 675,6 230,6 000,6 000,6 000,6 000,
Article,12.020,051 12020,05.1.12.020,Frais d'exploitation des véhicules automoteurs,8 850,6 615,7 000,7 500,7 500,8 000,
Article,12.040,051 12040,05.1.12.040,Frais de bureau,73 847,0,,,,,
Article,12.050,051 12050,05.1.12.050,Achat de biens et de services postaux et de télécommunications,124 684,0,,,,,
Article,12.070,051 12070,05.1.12.070,Location et entretien des équipements informatiques,92 070,0,,,,,Crédit sans distinction d'exercice
Article,12.080,051 12080,05.1.12.080,Bâtiments: exploitation et entretien,126 260,0,,,,,Crédit sans distinction d'exercice
Article,12.090,051 12090,05.1.12.090,Loyers d'immeubles et charges locatives accessoires payés au secteur des administrations publiques,390 835,0,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.120,051 12120,05.1.12.120,Frais d'experts et d'études,643 305,809 276,775 493,816 000,792 000,777 000,Crédit non limitatif et sans distinction d'exercice
Article,12.121,051 12121,05.1.12.121,Mise en place de la Centrale des bilans,101 862,130 000,182 000,182 000,182 000,182 000,Crédit non limitatif et sans distinction d'exercice
Article,12.125,051 12125,05.1.12.125,Frais d'experts et d'études en matière informatique,330 074,471 500,507 260,532 260,535 000,535 000,Crédit sans distinction d'exercice
Article,12.130,051 12130,05.1.12.130,Frais de publication,179 101,0,0,,,,Crédit sans distinction d'exercice
Article,12.190,051 12190,05.1.12.190,Frais de formation,38 465,48 000,48 000,50 000,50 000,50 000,
Article,12.192,051 12192,05.1.12.192,"Colloques, séminaires, stages et journées d'études: frais d'organisation et de participation",14 048,15 000,15 000,15 000,15 000,15 000,
Article,12.220,051 12220,05.1.12.220,Programmes de recherche concernant des sujets macro-économiques relatifs aux missions de l'Institut national de la statistique et des études économiques (INSEE) en matière d'analyse économique,168 788,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.260,051 12260,05.1.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,505 130,600 000,597 000,615 000,616 000,Crédit sans distinction d'exercice
Article,12.270,051 12270,05.1.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,536 270,542 500,550 000,558 000,568 000,Crédit sans distinction d'exercice
Article,12.300,051 12300,05.1.12.300,Enquêtes pour le compte de la Commission européenne et programmes de recherche concernant des sujets macro-économiques: dépenses diverses,1 595 914,2 273 115,2 706 698,2 441 082,2 726 426,2 735 776,Crédit non limitatif et sans distinction d'exercice
Article,12.302,051 12302,05.1.12.302,"Système INTRASTAT: frais d'impression de la documentation, gravure de CD-Rom et développement et maintenance du support informatique, campagne de promotion",79 773,79 590,79 000,180 600,182 200,183 800,Crédit sans distinction d'exercice
Article,12.310,051 12310,05.1.12.310,Recensement général de la population en 2011,291 891,173 410,0,,200 000,230 000,Crédit non limitatif et sans distinction d'exercice
Article,12.320,051 12320,05.1.12.320,Enquête sur les budgets des ménages,342 729,284 500,284 500,305 500,305 500,425 500,
Article,12.330,051 12330,05.1.12.330,Enquête sur les loyers,1 558,6 000,6 000,6 000,6 000,6 000,
Article,24.010,051 24010,05.1.24.010,Location de logiciels informatiques auprès de secteurs autres que le secteur des administrations publiques,340 625,380 000,370 000,410 000,400 000,420 000,Crédit sans distinction d'exercice
Article,33.011,051 33011,05.1.33.011,Subventions dans l'intérêt des activités d'organismes et d'associations,,2 000,2 000,2 000,2 000,2 000,
Article,35.060,051 35060,05.1.35.060,Contributions à des institutions nationales et internationales,5 347,6 000,6 000,6 000,6 000,6 000,
Article,41.010,051 41010,05.1.41.010,"Participation aux frais de fonctionnement d'un groupement d'intérêt économique dénommé ""Agence pour la normalisation et l'économie de la connaissance""",180 000,185 000,220 700,275 000,280 000,285 000,
Section,05.2,052,05.2,Conseil de la concurrence,733 011,620 212,1 302 963,1 327 746,1 356 269,1 403 971,
Article,11.000,052 11000,05.2.11.000,Traitements des fonctionnaires,649 682,524 467,1 201 913,1 225 446,1 252 819,1 299 371,Crédit non limitatif et sans distinction d'exercice
Article,11.130,052 11130,05.2.11.130,Indemnités pour services extraordinaires,74 289,84 445,85 000,86 000,87 000,88 000,Crédit non limitatif
Article,12.040,052 12040,05.2.12.040,Frais de bureau,4 935,6 500,11 100,11 200,11 350,11 500,
Article,12.120,052 12120,05.2.12.120,Frais d'experts et d'études,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.140,052 12140,05.2.12.140,"Frais de publicité, de sensibilisation et d'information",,,0,0,0,0,
Article,12.190,052 12190,05.2.12.190,"Colloques, séminaires, stages et journées d'études, frais d'organisation et de participation",4 105,4 700,4 850,5 000,5 000,5 000,
Section,05.3,053,05.3,Promotion du commerce extérieur.- Commission et office des licences,1 362 311,3 277 892,4 155 545,4 193 251,4 235 067,4 281 456,
Article,11.010,053 11010,05.3.11.010,Indemnités des employés occupés à titre permanent,,34 192,35 845,36 551,37 367,38 756,Crédit non limitatif et sans distinction d'exercice
Article,12.040,053 12040,05.3.12.040,Commission et office des licences: frais de bureau,931,,,,,,
Article,12.140,053 12140,05.3.12.140,"Promotion du commerce extérieur: frais de publicité, d'exposition et de commercialisation, y compris des frais relatifs à des missions préparatoires ainsi que frais de séjour et de réception de personnes tierces, dans l'intérêt des exportations luxembourgeoises; activités des missions diplomatiques et consulaires dans le même but; élaboration de matériel promotionnel sous forme de brochures, films, bandes vidéo, etc.",221 456,315 000,803 500,808 500,813 500,818 500,Crédit non limitatif et sans distinction d'exercice
Article,12.141,053 12141,05.3.12.141,"Promotion de l'expansion économique et commerciale: organisation de participations, d'actions de promotion et de missions de prospection à des foires et à des salons spécialisés; organisation de pareilles manifestations; acquisition et édition de matériel d'exposition; acquisition et édition de matériel de promotion; organisation de campagnes et d'actions de publicité; participation à des congrès",739 924,760 000,770 000,777 000,784 000,791 000,Crédit sans distinction d'exercice
Article,12.310,053 12310,05.3.12.310,Mesures et interventions dans l'intérêt de la promotion des investissements dans l'économie: frais divers,,1 760 000,2 145 000,2 168 000,2 195 000,2 226 000,Crédit non limitatif et sans distinction d'exercice
Article,31.030,053 31030,05.3.31.030,"Aides financières aux entreprises privées exportatrices, destinées à faciliter l'exportation de biens et de services d'origine luxembourgeoise: bonifications d'intérêt sur des crédits à l'exportation à moyen et à long terme; autres dépenses dans le même but",,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,31.051,053 31051,05.3.31.051,Interventions de l'Etat dans les frais engagés par les entreprises ou par des organismes luxembourgeois ayant des activités de promotion commerciale à l'occasion de participations à des foires et à des salons spécialisés à l'étranger,250 000,256 250,250 000,250 000,250 000,250 000,
Article,31.052,053 31052,05.3.31.052,"Participation aux frais de fonctionnement du GIE ""Luxembourg for Business""",,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,33.001,053 33001,05.3.33.001,Mesures et interventions destinées à faciliter l'expansion commerciale à l'étranger: subsides à des organismes luxembourgeois et étrangers,90 000,92 250,90 000,91 000,92 000,93 000,
Article,44.000,053 44000,05.3.44.000,"Participation aux frais de fonctionnement des cours organisés par les écoles japonaise, chinoise et russe",60 000,60 000,61 000,62 000,63 000,64 000,Crédit non limitatif et sans distinction d'exercice
Section,05.4,054,05.4,Commissariat aux affaires maritimes,1 230 945,1 533 685,1 377 373,1 423 426,1 472 848,1 514 382,
Article,11.000,054 11000,05.4.11.000,Traitements des fonctionnaires,166 618,240 424,174 987,178 410,182 396,189 173,Crédit non limitatif et sans distinction d'exercice
Article,11.010,054 11010,05.4.11.010,Indemnités des employés occupés à titre permanent,790 227,1 013 061,897 286,914 916,935 352,970 109,Crédit non limitatif et sans distinction d'exercice
Article,11.020,054 11020,05.4.11.020,Indemnités des employés occupés à titre temporaire,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.131,054 11131,05.4.11.131,Indemnités pour services extraordinaires,4 100,4 100,5 000,5 000,5 000,5 000,Crédit non limitatif
Article,41.050,054 41050,05.4.41.050,Dotation dans l'intérêt du fonctionnement du Commissariat aux Affaires Maritimes,270 000,276 000,300 000,325 000,350 000,350 000,Crédit non limitatif
Section,05.5,055,05.5,"Institut luxembourgeois de la normalisation, de l'accréditation, de la sécurité et qualité des produits et services (ILNAS)",4 500 118,5 549 337,5 718 243,5 977 154,6 142 917,6 439 209,
Article,11.000,055 11000,05.5.11.000,Traitements des fonctionnaires,2 226 111,2 808 334,2 913 446,2 970 676,3 037 032,3 149 881,Crédit non limitatif et sans distinction d'exercice
Article,11.010,055 11010,05.5.11.010,Indemnités des employés occupés à titre permanent,568 820,601 640,603 296,615 127,628 868,652 234,Crédit non limitatif et sans distinction d'exercice
Article,11.020,055 11020,05.5.11.020,Indemnités des employés occupés à titre temporaire,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.100,055 11100,05.5.11.100,Indemnités d'habillement,1 431,1 473,1 646,1 617,1 668,1 720,Crédit sans distinction d'exercice
Article,11.130,055 11130,05.5.11.130,Indemnités pour services extraordinaires,414,3 000,6 720,6 720,6 720,6 720,Crédit non limitatif
Article,12.000,055 12000,05.5.12.000,Indemnités pour services de tiers,467,5 000,10 920,10 920,10 920,10 920,Crédit non limitatif
Article,12.010,055 12010,05.5.12.010,"Frais de route et de séjour, frais de déménagement",1 915,2 850,3 000,3 200,3 200,3 300,
Article,12.020,055 12020,05.5.12.020,Frais d'exploitation des véhicules automoteurs,23 499,24 500,22 800,24 000,24 500,25 000,
Article,12.030,055 12030,05.5.12.030,Fourniture de vêtements de travail et de protection pour les agents du service de métrologie légale et du département surveillance du marché,490,0,0,,,,
Article,12.040,055 12040,05.5.12.040,Frais de bureau,15 386,0,,,,,
Article,12.050,055 12050,05.5.12.050,Achat de biens et de services postaux et de télécommunications,4 333,0,,,,,
Article,12.080,055 12080,05.5.12.080,Bâtiments: exploitation et entretien,84 242,0,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.100,055 12100,05.5.12.100,Loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,579 677,0,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.120,055 12120,05.5.12.120,Frais d'experts et d'études,42 254,75 000,90 000,94 000,92 000,99 500,Crédit non limitatif et sans distinction d'exercice
Article,12.125,055 12125,05.5.12.125,Frais d'experts et d'études en matière informatique,82 755,101 900,0,,,,Crédit sans distinction d'exercice
Article,12.190,055 12190,05.5.12.190,Conférences et cours de recyclage dans l'intérêt de la formation du personnel,,0,0,,,,
Article,12.191,055 12191,05.5.12.191,"Colloques, séminaires, stages et journées d'études: frais d'organisation et de participation",17 486,29 100,29 100,33 200,33 350,34 500,
Article,12.200,055 12200,05.5.12.200,Assurances conclues dans l'intérêt des auditeurs et experts engagés par l'Office luxembourgeois d'accréditation et de surveillance,1 082,1 190,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.250,055 12250,05.5.12.250,Frais de fonctionnement du laboratoire d'essais,24 043,45 300,21 800,54 000,29 000,59 000,
Article,12.260,055 12260,05.5.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,23 700,112 760,116 500,119 500,123 000,
Article,12.270,055 12270,05.5.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,721 600,768 230,791 350,803 350,816 680,Crédit sans distinction d'exercice
Article,12.300,055 12300,05.5.12.300,Frais d'expertises et d'audits de reconnaissance mutuelle,2 301,13 000,9 380,4 000,4 000,13 000,Crédit non limitatif
Article,12.301,055 12301,05.5.12.301,Surveillance du marché des produits et équipements relevant de la compétence de l'ILNAS,22 693,40 000,40 000,55 000,55 000,55 000,Crédit non limitatif
Article,12.304,055 12304,05.5.12.304,Frais d'audits à refacturer,241 576,266 300,280 000,300 000,320 000,340 000,Crédit non limitatif et sans distinction d'exercice
Article,12.320,055 12320,05.5.12.320,Acquisition et entretien d'instruments de contrôle pour les besoins du Service de Métrologie: dépenses diverses,5 819,6 500,5 750,6 700,7 540,7 730,
Article,32.010,055 32010,05.5.32.010,Contribution financière à des entreprises dans le cadre de la mise en oeuvre de la politique nationale de métrologie,0,15 000,,15 000,15 000,15 000,
Article,35.030,055 35030,05.5.35.030,Contribution financière à des organismes ou institutions internationaux faisant fonction d'instituts désignés,,,,,,,
Article,35.060,055 35060,05.5.35.060,Cotisations et contributions à des organismes et institutions internationaux,156 862,140 000,175 610,179 519,183 293,234 215,Crédit non limitatif et sans distinction d'exercice
Article,41.010,055 41010,05.5.41.010,Contribution financière au CRP-Henri Tudor dans l'intérêt de la mise en place d'un Institut National de Métrologie ayant fait l'objet d'une convention,171 802,0,0,,,,
Article,41.011,055 41011,05.5.41.011,"Participation aux frais de fonctionnement d'un groupement d'intérêt économique dénommé ""Agence pour la normalisation et l'économie de la connaissance""",224 660,608 850,608 685,680 525,752 876,776 709,
Article,41.012,055 41012,05.5.41.012,Contribution financière à l'Université du Luxembourg dans le cadre de la mise en oeuvre de la politique nationale de métrologie,,15 000,15 000,15 000,15 000,15 000,
Section,05.6,056,05.6,Classes moyennes,6 957 608,6 380 350,5 858 000,5 805 000,5 919 000,6 174 000,
Article,11.130,056 11130,05.6.11.130,Indemnités pour services extraordinaires,2 495,4 500,4 000,4 000,4 000,4 000,
Article,12.000,056 12000,05.6.12.000,Indemnités pour services de tiers,3 167,5 250,5 000,5 000,5 000,5 000,
Article,12.010,056 12010,05.6.12.010,Frais de route et de séjour,117,0,0,,,,
Article,12.012,056 12012,05.6.12.012,Frais de route et de séjour à l'étranger,10 165,0,0,,,,
Article,12.020,056 12020,05.6.12.020,Frais d'exploitation des véhicules automoteurs,933,0,,,,,
Article,12.040,056 12040,05.6.12.040,Frais de bureau,752,0,,,,,
Article,12.070,056 12070,05.6.12.070,Location et entretien des équipements informatiques,476,0,,,,,
Article,12.080,056 12080,05.6.12.080,Bâtiments: exploitation et entretien,,0,,,,,Crédit sans distinction d'exercice
Article,12.120,056 12120,05.6.12.120,Frais d'experts et d'études,119 875,40 000,75 000,75 000,75 000,75 000,Crédit sans distinction d'exercice
Article,12.121,056 12121,05.6.12.121,Evaluation et certification ISO 9000 du service des autorisations,6 590,8 000,8 000,8 000,8 000,8 000,
Article,12.125,056 12125,05.6.12.125,Frais d'experts et d'études en matière informatique,5 434,11 000,11 000,12 000,12 000,12 000,
Article,12.141,056 12141,05.6.12.141,Mise en place d'un local de promotion et de vente de produits luxembourgeois dans l'intérêt du secteur des Classes moyennes,152,0,,,,,
Article,12.144,056 12144,05.6.12.144,Frais de publication,,0,0,,,,
Article,12.146,056 12146,05.6.12.146,Participation financière de l'Etat à l'organisation de la semaine luxembourgeoise de la qualité et du prix luxembourgeois pour la qualité,15 000,0,0,0,0,0,
Article,12.260,056 12260,05.6.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,10 000,10 000,10 000,10 000,10 000,
Article,12.303,056 12303,05.6.12.303,Guichet Entreprises,,570 000,598 000,584 000,593 000,593 000,Crédit sans distinction d'exercice
Article,31.030,056 31030,05.6.31.030,Application des lois-cadre ayant pour objet l'amélioration structurelle des petites et moyennes entreprises du secteur des classes moyennes: bonifications d'intérêt,1 248 045,1 800 000,1 600 000,1 800 000,2 000 000,2 250 000,Crédit non limitatif et sans distinction d'exercice
Article,31.040,056 31040,05.6.31.040,Application de la loi du 30 juin 2004 portant création d'un cadre général des régimes d'aides en faveur du secteur des classes moyennes: subventions au titre de l'article 2 alinéa (3) de la loi,25 769,75 000,75 000,75 000,75 000,75 000,Crédit sans distinction d'exercice
Article,31.050,056 31050,05.6.31.050,"Subsides destinés à favoriser a) la prospection des marchés et la vente des produits de l'artisanat luxembourgeois à l'intérieur du pays et dans les pays étrangers, b) l'organisation de congrès sur le plan national et international relevant des professions indépendantes ainsi que l'établissement des organismes professionnels institués par la loi qui les représentent, c) la participation à des réunions professionnelles à l'étranger, notamment dans le cadre des communautés européennes et d) la participation à des séminaires et cours de formation professionnelle à l'étranger",75 000,75 000,90 000,90 000,90 000,90 000,
Article,31.051,056 31051,05.6.31.051,Contributions destinées à favoriser la participation à des foires et manifestations professionnelles,42 921,50 000,50 000,50 000,50 000,50 000,
Article,31.052,056 31052,05.6.31.052,Office luxembourgeois d'accréditation et de surveillance: cotisation et contribution au Mouvement luxembourgeois pour la qualité,7 200,3 600,4 000,4 000,4 000,4 000,
Article,33.000,056 33000,05.6.33.000,Promotion du Luxembourg comme pôle de commerce de la Grande Région,700 000,500 000,300 000,100 000,,,Crédit sans distinction d'exercice
Article,33.001,056 33001,05.6.33.001,Participation à des frais pour le programme WORKS de la Fédération des Artisans,50 000,50 000,0,,,,
Article,33.010,056 33010,05.6.33.010,Subsides dans l'intérêt du fonctionnement du comité national de recherches organisé dans le cadre de l'institut international des classes moyennes,,0,0,,,,
Article,41.000,056 41000,05.6.41.000,Promotion professionnelle des secteurs relevant du ministère des classes moyennes: participation aux frais d'organismes professionnels,4 362 517,2 983 000,2 783 000,2 783 000,2 783 000,2 783 000,
Article,41.001,056 41001,05.6.41.001,"Cours de formation professionnelle pour exploitants de débits de boissons alcooliques et non alcooliques, cours de formation accélérée pour commerçants, cours de formation pour l'accès à la profession de transporteur: participation aux frais exposés par la chambre de commerce",196 000,0,0,,,,
Article,41.002,056 41002,05.6.41.002,Actions en faveur de la revalorisation du travail manuel: participation aux frais,85 000,135 000,180 000,135 000,135 000,135 000,
Article,41.004,056 41004,05.6.41.004,"Participation sur base de modalités définies par règlement du Gouvernement en Conseil à des actions visant l'amélioration de la compétitivité du commerce urbain et de proximité, et financées par les collectivités locales et les organismes professionnels",,60 000,65 000,70 000,75 000,80 000,
Section,05.7,057,05.7,Tourisme,7 588 269,7 998 723,8 447 329,8 731 572,8 873 590,9 285 332,
Article,11.300,057 11300,05.7.11.300,Agences et agents à l'étranger chargés de promouvoir l'expansion touristique: indemnités des agents,426 617,100,,,,,Crédit non limitatif
Article,12.010,057 12010,05.7.12.010,Frais de route et de séjour,,0,0,,,,
Article,12.012,057 12012,05.7.12.012,Frais de route et de séjour à l'étranger,26 207,0,0,,,,
Article,12.020,057 12020,05.7.12.020,Frais d'exploitation des véhicules automoteurs,2 289,0,,,,,
Article,12.040,057 12040,05.7.12.040,Frais de bureau,646,,,,,,
Article,12.100,057 12100,05.7.12.100,Agences et agents à l'étranger chargés de promouvoir l'expansion touristique: loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,,,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.101,057 12101,05.7.12.101,Local de promotion et de vente de produits luxembourgeois: loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,,,60 000,60 000,60 000,60 000,Crédit non limitatif et sans distinction d'exercice
Article,12.120,057 12120,05.7.12.120,Exécution du neuvième programme quinquennal d'équipement de l'infrastructure touristique: élaboration d'études et de concepts relatifs au développement et à l'équipement de l'infrastructure touristique pour le compte du Ministère du Tourisme,318 699,446 000,425 000,444 500,400 000,420 000,Crédit sans distinction d'exercice
Article,12.121,057 12121,05.7.12.121,Frais d'élaboration de fiches de rémunération des agents aux représentations touristiques à l'étranger et des animateurs touristiques,1 585,100,0,,,,
Article,12.123,057 12123,05.7.12.123,Exposition nationale luxembourgeoise d'horticulture à Luxembourg,,30 000,30 000,30 000,30 000,60 000,Crédit sans distinction d'exercice
Article,12.125,057 12125,05.7.12.125,Frais d'experts et d'études en matière informatique,9 540,26 000,20 000,20 000,20 000,20 000,
Article,12.140,057 12140,05.7.12.140,"Frais de publicité, de sensibilisation et d'information",222 631,275 000,260 000,270 000,285 000,315 000,Crédit sans distinction d'exercice
Article,12.141,057 12141,05.7.12.141,"Participation à des foires, salons, expositions et autres manifestations à caractère touristique",722 081,680 000,690 000,700 000,710 000,720 000,Crédit sans distinction d'exercice
Article,12.142,057 12142,05.7.12.142,Mise en place d'un local de promotion et de vente de produits luxembourgeois.,,100 000,40 000,40 000,40 000,40 000,
Article,12.300,057 12300,05.7.12.300,"Aménagement, signalisation, équipement et entretien des sentiers touristiques, des circuits VTT et des pistes cyclables: dépenses diverses",230 631,242 000,245 000,249 500,254 500,257 500,
Article,12.302,057 12302,05.7.12.302,Agences et agents à l'étranger chargés de promouvoir l'expansion touristique: frais de port,12 500,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.303,057 12303,05.7.12.303,Agences et agents à l'étranger chargés de promouvoir l'expansion touristique: autres frais courants de fonctionnement,67 500,0,0,,,,Crédit sans distinction d'exercice
Article,12.305,057 12305,05.7.12.305,Frais en relation avec l'organisation de congrès et de conférences internationaux à Luxembourg,,,0,0,0,0,Crédit sans distinction d'exercice
Article,32.010,057 32010,05.7.32.010,Participation aux frais de réalisation d'un guide de randonnées,,12 000,3 000,,15 000,,Crédit sans distinction d'exercice
Article,33.011,057 33011,05.7.33.011,Participation aux frais de l'association de gérance du Centre mosellan et du musée A Possen,72 005,72 005,159 805,162 650,165 541,168 487,
Article,33.012,057 33012,05.7.33.012,"Participation aux frais des syndicats d'initiative, des ententes de syndicats d'initiative et d'autres associations sans but lucratif exerçant une activité notable dans l'intérêt du tourisme national",469 526,481 000,481 000,485 075,490 000,495 075,
Article,33.014,057 33014,05.7.33.014,Organisation de concours: primes d'encouragement et de récompense,,0,0,,,,
Article,33.015,057 33015,05.7.33.015,Participation aux frais de l'office national du tourisme,2 242 119,2 578 828,100,100,,,Crédit sans distinction d'exercice
Article,33.016,057 33016,05.7.33.016,Participation aux frais de fonctionnement de la Schengen asbl,75 895,100 000,90 000,95 000,100 000,105 000,
Article,33.017,057 33017,05.7.33.017,"Participation de l'Etat dans le financement des manifestations touristiques et culturelles organisées par le musée ""A Possen""",84 677,84 677,0,,,,
Article,33.018,057 33018,05.7.33.018,"Participation de l'Etat au financement de campagnes exceptionnelles de promotion, de sensibilisation et d'information 2014 organisées par l'Office national du Tourisme",910 000,935 000,0,,,,
Article,33.019,057 33019,05.7.33.019,"Exécution du neuvième programme quinquennal d'équipement de l'infrastructure touristique: participation aux frais d'études et de concepts relatifs au développement et à l'équipement de l'infrastructure touristique réalisées par des syndicats d'initiative, des ententes de syndicats d'initiative et d'autres associations sans but lucratif",6 003,15 000,20 000,20 000,20 000,20 000,Crédit sans distinction d'exercice
Article,33.021,057 33021,05.7.33.021,"Exécution du neuvième programme quinquennal d'équipement de l'infrastructure touristique: participation aux frais de rémunération et de fonctionnement dans le cadre de projets ou initiatives touristiques d'envergure gérés par des syndicats d'initiative, des ententes de syndicats d'initiative et des associations sans but lucratif",1 430 389,1 582 640,1 694 924,1 715 547,1 737 749,1 772 470,Crédit sans distinction d'exercice
Article,33.023,057 33023,05.7.33.023,Participation aux cours de formation touristique continue en vue de la standardisation et de la coordination des bureaux de tourisme régionaux et locaux,,0,0,,,,
Article,33.027,057 33027,05.7.33.027,"Participation de l'Etat dans le financement d'équipes nationales participant à des concours, compétitions et expositions internationales dans le domaine de la gastronomie",6 200,6 200,6 200,6 200,6 500,6 500,
Article,33.028,057 33028,05.7.33.028,"Participation de l'Etat dans le financement de l'Expogast - Culinary World Cup 2014, organisé par le Vatel Club asbl",75 000,0,0,80 000,80 000,,Crédit sans distinction d'exercice
Article,33.029,057 33029,05.7.33.029,"Subsides aux syndicats d'initiative, aux ententes de syndicats d'initiatives et aux autres associations sans but lucratif exerçant une activité notable dans l'intérêt du tourisme national",82 111,100 000,100 000,100 000,100 000,100 000,
Article,33.030,057 33030,05.7.33.030,Frais en relation avec l'organisation de congrès et de conférences internationaux à Luxembourg,,,250 000,250 000,250 000,250 000,Crédit sans distinction d'exercice
Article,35.010,057 35010,05.7.35.010,Participation de l'Etat dans les actions et projets du programme INTERREG,24 180,131 473,90 000,120 000,120 000,130 000,Crédit non limitatif et sans distinction d'exercice
Article,35.060,057 35060,05.7.35.060,Contributions à des organismes internationaux,10 913,13 300,13 300,13 000,13 300,13 300,
Article,41.000,057 41000,05.7.41.000,Participation aux frais du Groupement d’intérêt économique - Office national du tourisme,,,3 700 000,3 800 000,3 900 000,4 250 000,Crédit sans distinction d'exercice
Article,43.001,057 43001,05.7.43.001,Subsides en faveur des communes exerçant une activité notable dans l'intérêt du tourisme national,9 481,46 500,25 000,30 000,35 000,40 000,
Article,43.004,057 43004,05.7.43.004,Exécution du neuvième programme quinquennal d'équipement de l'infrastructure touristique: participation de l'Etat aux frais des communes et ententes de communes occasionnés par l'élaboration d'études et de concepts relatifs au développement et à l'équipement de l'infrastructure touristique,38 104,15 000,30 000,25 000,25 000,25 000,Crédit sans distinction d'exercice
Article,43.010,057 43010,05.7.43.010,"Participation de l'Etat aux frais des communes et ententes de communes pour l'entretien des sentiers touristiques, des circuits VTT et des pistes cyclables",10 740,14 000,14 000,15 000,16 000,17 000,
Article,12.640,057 12640,05.7.12.640,"Frais de publicité, de sensibilisation et d'information",,5 000,,,,,
Article,12.641,057 12641,05.7.12.641,"Participation à des foires, salons expositions et autres manifestations à caractère touristique",,6 900,,,,,
Département,06,06,06,Ministère de la Sécurité intérieure,197 172 819,206 592 435,200 865 568,206 088 235,210 429 351,217 515 022,
Section,06.0,060,06.0,Dépenses générales,105 534,334 000,150 415,151 037,151 025,151 062,
Article,11.020,060 11020,06.0.11.020,Indemnités des employés occupés à titre temporaire,,,2 915,3 037,3 025,3 062,Crédit non limitatif et sans distinction d'exercice
Article,11.130,060 11130,06.0.11.130,Indemnités pour services extraordinaires,730,4 000,2 000,4 000,4 000,4 000,
Article,12.230,060 12230,06.0.12.230,Frais en relation avec des actes et manifestations de la vie publique à caractère protocolaire ou social ; dépenses diverses,,,4 000,4 000,4 000,4 000,Crédit non limitatif et sans distinction d'exercice
Article,12.250,060 12250,06.0.12.250,Direction de la Sécurité Intérieure: frais de fonctionnement,11 228,30 000,21 500,20 000,20 000,20 000,
Article,12.320,060 12320,06.0.12.320,Frais de représentation; cérémonies; réceptions officielles; dépenses diverses,,,0,0,0,0,
Article,35.060,060 35060,06.0.35.060,Contributions à des organismes internationaux,93 576,300 000,120 000,120 000,120 000,120 000,Crédit non limitatif
Section,06.1,061,06.1,Police grand-ducale,197 004 302,206 194 235,200 618 093,205 838 247,210 208 040,217 292 297,
Article,11.000,061 11000,06.1.11.000,Traitements des fonctionnaires,155 474 060,162 698 503,164 244 055,167 473 484,171 214 365,177 576 273,Crédit non limitatif et sans distinction d'exercice
Article,11.010,061 11010,06.1.11.010,Indemnités des employés occupés à titre permanent,4 952 807,5 408 647,5 667 415,5 779 048,5 908 135,6 127 668,Crédit non limitatif et sans distinction d'exercice
Article,11.020,061 11020,06.1.11.020,Indemnités des employés occupés à titre temporaire,53 920,10 779,10 927,11 180,11 318,11 602,Crédit non limitatif et sans distinction d'exercice
Article,11.030,061 11030,06.1.11.030,Salaires des salariés occupés à titre permanent,1 137 401,1 244 304,1 363 094,1 389 627,1 420 667,1 473 456,Crédit non limitatif et sans distinction d'exercice
Article,11.040,061 11040,06.1.11.040,Salaires des salariés occupés à titre temporaire,13 386,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.070,061 11070,06.1.11.070,Rémunération des volontaires de police,3 403 805,3 215 083,4 237 734,5 044 158,5 103 085,5 227 992,Crédit non limitatif et sans distinction d'exercice
